58;456;0;732;140;84;121;36;1045;1;84;0;4090;0;0;0;1102991;1000;949;173;486;387;859;973;1022;-10886;-2696;10777;262;716;-1131;
58;456;0;732;140;84;121;36;1045;1;84;0;4030;0;0;0;1103001;993;950;151;480;401;865;983;1023;-17043;-14089;5531;-1047;956;-1425;
58;456;0;732;140;84;121;36;1045;1;84;0;4030;0;0;0;1103011;980;946;178;475;389;845;1010;1023;-20091;-2926;13719;108;698;-1157;
58;455;0;731;140;84;121;31;1045;1;84;0;4090;0;0;0;1103021;965;946;178;477;389;845;990;1023;-25594;-12325;7108;-1219;1056;-931;
58;455;0;731;140;84;121;31;1045;1;84;0;4090;0;0;0;1103031;965;946;178;477;389;845;990;1023;-17367;-13477;7043;16;845;-1108;
58;456;0;730;140;84;121;31;1045;1;84;0;4090;0;0;0;1103041;981;946;178;477;389;845;991;1023;-27217;-14396;4552;-1307;1125;-1003;
58;456;0;730;140;84;121;31;1045;1;84;0;4090;0;0;0;1103051;993;944;151;480;397;865;983;1023;-18052;-12936;6846;-154;938;-1107;
58;456;0;730;140;84;121;31;1045;1;84;0;4090;0;0;0;1103062;993;948;164;480;401;865;983;1023;-19900;-14321;2703;-771;1128;-1052;
58;457;0;727;140;84;121;31;1045;1;84;0;4030;0;0;0;1103072;987;957;161;484;392;862;1001;1015;-18940;-14368;3844;183;840;-1080;
58;457;0;727;140;84;121;31;1045;1;84;0;4030;0;0;0;1103082;1001;951;165;482;383;859;981;1023;-22331;-9090;4979;-951;1022;-1056;
58;454;0;722;140;84;121;31;1045;1;84;0;4030;0;0;0;1103092;1003;951;173;482;383;859;981;1022;-20585;-13137;4972;182;1139;-1195;
58;454;0;722;140;84;121;31;1045;1;84;0;4030;0;0;0;1103102;982;943;171;495;394;852;1003;1013;-24192;-10872;7352;-979;1018;-933;
58;454;0;722;140;84;121;31;1045;1;84;0;4030;0;0;0;1103112;993;950;116;480;393;865;983;1023;-5686;-11320;10220;24;633;-1110;
58;451;0;719;140;84;121;31;1045;1;84;0;3990;0;0;0;1103122;986;957;169;482;394;862;1001;1013;-15006;-3375;7183;-200;892;-908;
58;451;0;719;140;84;121;31;1045;1;84;0;3990;0;0;0;1103132;986;953;168;484;392;862;1001;1013;-7086;-6092;13754;-36;311;-1100;
